Artist,Album,Format,Label,Quantity,PhotoURL,More_Info
Against Me!,Stabitha Christie,"7"" Picture Disc",Total Treble,4000,http://recordstoreday.com/Photo/418458060074:284,"Limited edition 7"" picture disc featuring two brand new tracks from Against Me!. ""Stabitha Christie""/""First High Of The Morning"""
Air,Le Soleil Est Pres de Moi,"12"" Vinyl",Parlophone/Rhino,2000,http://recordstoreday.com/Photo/418458059860:284,"After their first two incredible debut singles (""Modulator Mix"" and ""Casanova 70"") were revealed to the world in 1995 and 96, Air released two follow up classics in 1997: ""Le soleil est pres de moi"" and ""J'ai dormi sous l'eau"". This RSD release includes both original versions and a remixed version of 'J'ai dormi sous l'eau"" by the famous French electronic music duo l :cube & DJ Gilb'R .A.K.A Chateau flight and a Dan The Automator remix of ""Le soleil est pres de moi"". (Limited worldwide release of 4500.) SIDE A: 01 Le Soleil est pres de moi 02 J'ai dormi sous l'eau SIDE B: 01 Le soleil est pres de moi (Automator remix) 02 J'ai dormi sous l'eau"
AJJ,Decade of Regression: Live At SideOneDummy,LP,SideOneDummy,1200,http://recordstoreday.com/Photo/418458060075:284,"Decade of Regression: Live at SideOneDummy captures an intimate live session recorded at SideOneDummy's headquarters in Summer 2016 1. Goodbye, Oh Goodbye 2. Brave As A Noun 3. Survival Song 4. Linda Rondstadt 5. My Brain Is A Human Body 6. Rejoice 7. Junkie Church 8. Love in the Time of Human Papilomavirus 9. Growing Up 10. Coffin Dance 11. Bells and Whistles 12. Free Bird 13. Small Red Boy"
Alice In Chains,Get Born,"2 x 7""",Sony Legacy,4000,http://recordstoreday.com/Photo/418458060053:284,"This special Alice in Chains 45 RPM double 7” single collects four hard-hitting tracks remastered and available on vinyl for the first time. –What the Hell Have I” and –A Little Bitter,” released on the soundtrack to the Arnold Schwarzenegger film Last Action Hero in 1993, were the first to feature new bassist Mike Inez, whoêd played with Ozzy Osbourne for five years. –Get Born Again” and –Died,” released on the box set Music Bank in 1999, were the bandês final recordings with original vocalist Layne Staley."
All Time Low,MTV Unplugged,LP,Hopeless Records,1300,https://s3.amazonaws.com/broadtime_thumbnails/979/418458059979/418458059979%3A284.jpg,"For the first time ever, All Time Low's intimate MTV Unplugged album is available on warm and cozy vinyl. Available on limited edition white and black smashl Record Store Day Exclusive vinyl. 01 Damned If I Do Ya (Damned If I Don't) 02 Coffee Shop Soundtrack 03 Remembering Sunday 04 Jasey Rae 05 Weightless 06 Dear Maria, Count Me In"
Andre 3000,All Together Now,"7"" Vinyl",Sony Legacy,5000,http://recordstoreday.com/Photo/418458060042:284,"For the first time on vinyl, Andre 3000ês eclectic interpretation of The Beatlesê –All Together Now,” first heard in a Nike commercial that aired during the NBA Finals in 2010. This 45 RPM 7” single is backed with a previously unreleased instrumental version of the track."
Atomic Bomb Band,The Atomic Bomb Band (Performing the Music of William Onyeabor,"12"" Vinyl",Luaka Bop,1400,http://recordstoreday.com/Photo/418458061074:284,"We never knew when we put out an album of the music of the late William Onyeabor that William had never performed live - though we did know he had no interest in doing it now. So we thought we should put together a band to play his music live. What an amazing time it's been. It's been so enjoayable that we thought we should document the group playing Williams music live in a studio. This document is not in anyway trying to compete with the amazing work that William Onyeabor did originally. This is a limited LP only edition which we hope you enjoy. Please welcome - The Atomic Bomb Band. Featured on this album: Jamie Lidell, Alexis Taylor (Hot Chip), Luke Jenner (The Rapture), Charles Lloyd, Money Mark (Beastie Boys), Pat Mahoney (LCD Soundsystem), Ahmed Gallab (Sinkane), Jason Trammell, Ish Montgomery, Johnny Lamm, Jas Walton & Jordan McLean (Antibalas), Lekan Babaloa, Kofo the Wonderman, Felicia Douglas, & Ananda Kihiri."
Avenged Sevenfold,Waking The Fallen,2 x LP Picture Disc,Hopeless Records,1300,http://recordstoreday.com/Photo/418458059980:284,"For the first time ever, Avenged Sevenfold's groundbreaking album, Waking The Fallen, is available on a double LP collector's edition picture disc. Extremely limited to a one-time only pressing for Record Store Day."
Banks and Steelz,Wild Season (featuring Florence Welch),"7"" Vinyl",Warner Bros.,2800,http://recordstoreday.com/Photo/418458059846:284,"A musical collaboration between Wu Tang Clan's RZA and Interpol's Paul Banks, featuring Florence Welch (of Florence and the Machine) on the A-side."
The Beatles,Strawberry Fields Forever,"7"" Vinyl",Apple Corp./Capital Records,7000,http://recordstoreday.com/Photo/418458080708:284,"For Record Store Day 2017, an exclusive, limited edition 7"" single of The Beatles' ""Strawberry Fields Forever"" and ""Penny Lane"", among the first songs recorded during the Sgt. Pepper sessions, which begin in November 1966. Rather than being held for inclusion on the album, the two songs were released as a double A-sided single in February 1967. Amidst intense media speculation about the band's next move, the single bridged what was then considered a long gap between the Revolver album, released in August 1966, and Sgt. Pepper, which followed ten months later. "
Big L,Devil's Son EP (From The Vaults),LP,Sony Legacy,3000,http://recordstoreday.com/Photo/418458060045:284,"Harlem rapper Big L (1974-1999) helped pioneer the horrorcore subgenre of hiphop in his short but notable career with his underground track –Devilês Son,” a song recorded but deemed too controversial for 1995ês Lifestyles Ov Da Poor & Dangerous. –Devilês Son” is released on 12” vinyl alongside an instrumental version plus four legendary and long-bootlegged unreleased tracks from the Lifestyles Ov Da Poor & Dangerous sessions."
